name,description
Plumber,Fixes pipes and leaks
Electrician,Installs electrical systems
Handyman,Repairs and maintains homes
Carpenter,Builds and repairs furniture
HVAC Technician,Repairs and maintains HVAC systems
Roofer,Repairs and replaces roofs
Locksmith,Locks and key services
Painter,Applies paint to surfaces
Pest Control Specialist,Eliminates pests from homes
Home Security Installer,Installs home security systems
Window Installer,Installs windows and glass
Insulation Specialist,Installs insulation for homes
Drywall Contractor,Repairs drywall and plaster
Garage Door Repair,Repairs and installs garage doors
Appliance Repair Technician,Repairs household appliances
Deck Builder,Builds outdoor decks
Masonry Service,Repairs and installs masonry
Tile Installer,Installs tiles for floors/walls
General Contractor,Oversees home construction projects
Floor Installer,Installs various flooring types
Interior Designer,Designs and decorates interiors
House Cleaning Service,Cleans and maintains homes
Furniture Assembly,Assembles furniture
Property Maintenance,Maintains residential properties
Water Damage Restoration,Restores water damage
Foundation Repair,Repairs foundation issues
Gutter Cleaning,Cleans gutters and downspouts
Chimney Sweep,Cleans and inspects chimneys
Fireplace Installer,Installs and repairs fireplaces
Pool Maintenance,Maintains and repairs pools
Solar Panel Installer,Installs solar energy systems
Fence Builder,Builds fences and gates
Basement Waterproofing,Waterproofs basement foundations
Septic Tank Service,Services and repairs septic systems
Sandblasting Service,Cleans surfaces with high-pressure air
Stucco Repair,Repairs stucco exteriors
Mold Remediation Specialist,Remediates mold problems
Water Heater Repair,Repairs and installs water heaters
Plumbing Inspection,Conducts plumbing inspections
Cabinet Maker,Builds custom cabinets
Door Installer,Installs doors and frames
Countertop Installer,Installs countertops
Skylight Installer,Installs and repairs skylights
Garage Organizer,Organizes garages and spaces
Shed Builder,Builds storage sheds
Patio Contractor,Installs outdoor patios
Demolition Contractor,Demolishes structures safely
Grout Cleaning,Cleans and restores grout
Trash Hauling Service,Hauls away unwanted items
Storm Window Installer,Installs storm windows
Weatherproofing Specialist,Prevents weather-related damage
Wallpaper Removal,Removes wallpaper
Carpet Installer,Installs carpet and flooring
Light Fixture Installation,Installs lighting fixtures
Air Duct Cleaning,Cleans air ducts
Ceiling Fan Installer,Installs ceiling fans
Emergency Plumbing,Responds to emergency plumbing
Leak Detection Service,Detects and fixes leaks
Retaining Wall Builder,Builds retaining walls
Structural Engineer,Evaluates building structures
Excavation Service,Excavates land for construction
Renovation Specialist,Specializes in home renovations
General Home Repair,Repairs general home issues
Energy Audit Specialist,Conducts energy efficiency audits
Smart Home Installer,Installs smart home technology
Fireplace Maintenance,Maintains and repairs fireplaces
Driveway Installer,Installs driveways and paths
Tree Removal Service,Removes trees and stumps
Landscape Designer,Designs outdoor landscapes
Sprinkler System Installer,Installs sprinkler systems
Pergola Builder,Builds pergolas and gazebos
Stone Mason,Builds stone and brick structures
Exterior Painter,Paints exterior surfaces
Holiday Lighting Installer,Installs holiday lights
Pressure Washer Operator,Cleans surfaces using pressure
Roof Inspector,Inspects roof conditions
Handrail Installer,Installs handrails and supports
Skylight Repair,Repairs and installs skylights
Shutter Installer,Installs window shutters
Doorbell Camera Installer,Installs video doorbells
Greenhouse Builder,Builds greenhouses
Home Theater Installer,Installs home theater systems
Insulation Tester,Tests home insulation
Home Warranty Inspector,Inspects and maintains warranties
Soundproofing Service,Soundproofs home environments
Ventilation System Installer,Installs ventilation systems
Termite Control Service,Controls termite infestations
Waterproofing Contractor,Waterproofs homes and basements
Roof Sealing Specialist,Seals roofs against leaks
Gas Line Repair,Repairs and installs gas lines
Outdoor Kitchen Builder,Builds outdoor kitchens
Chimney Inspector,Inspects chimneys for safety
Fence Repair Specialist,Repairs and maintains fences
Landscape Maintenance,Maintains outdoor landscapes
Window Repair Technician,Repairs window damage
Soil Testing Service,Tests soil for construction
Trenching Service,Digs trenches for projects
Crawl Space Cleaning,Cleans crawl spaces
Wall Panel Installer,Installs wall panels
Roofing Maintenance,Maintains roofing structures
Appliance Installation,Installs home appliances
Attic Fan Installer,Installs attic fans
Drain Cleaning Specialist,Cleans and maintains drains
Furniture Repair Service,Repairs and restores furniture
Hardwood Floor Refinishing,Refinishes hardwood floors
Metal Roof Installer,Installs and repairs metal roofs
Stone Patio Builder,Builds stone patios
Tuckpointing Specialist,Repairs brickwork and mortar
Wallpaper Installation,Installs wallpaper
Epoxy Flooring Specialist,Specializes in epoxy flooring
Cabinet Refacing,Refaces and updates cabinets
Garage Door Opener Installer,Installs garage door openers
Exterior Door Repair,Repairs exterior doors
Weatherstripping Service,Seals windows and doors
Flooring Consultant,Consults on flooring options
Home Automation Specialist,Installs home automation
Electric Gate Installer,Installs automatic gates
Shed Removal Service,Removes old sheds
Bathtub Refinishing,Refinishes bathtubs
Concrete Repair Service,Repairs concrete surfaces
Home Stager,Stages homes for sale
Rainwater Harvesting Installer,Installs rainwater harvesting systems
Window Tinting Specialist,Applies window tinting
Curtain Installer,Installs and adjusts curtains
Driveway Pressure Washing,Pressure washes driveways
Fence Painting Service,Paints and maintains fences
Gazebo Builder,Builds gazebos and structures
Hot Tub Maintenance,Maintains hot tubs and spas
Landscape Lighting Specialist,Installs outdoor lighting
Leak Repair Technician,Repairs leaks and seals
Security Camera Installer,Installs security camera systems
Soundproof Window Installer,Installs soundproof windows
Storm Damage Repair,Repairs storm damage
Water Leak Detector,Detects water leaks
Wooden Staircase Builder,Builds wooden staircases
Solar Water Heater Installer,Installs solar water heating
Tree Pruning Service,Prunes trees for health
Vinyl Siding Repair,Repairs vinyl siding
Window Shutter Installer,Installs window shutters
Outdoor Fireplace Builder,Builds outdoor fireplaces
Interior Wall Repair,Repairs interior walls
Closet Organizer Installer,Installs closet organizers
Metal Fabricator,Fabricates metal components
Green Roof Installer,Installs green roofs
HVAC Duct Installer,Installs HVAC ducts
Underground Utility Locator,Locates underground utilities
Wind Turbine Installer,Installs wind turbines
Wood Floor Polishing Service,Polishes wood floors
Pool Fence Installer,Installs pool fences
Crawl Space Insulation Specialist,Insulates crawl spaces